Language of Original Document,Document Type,Year,Authors,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Source,EID
English,Article,2017,"Li H., Shang W., Hassan A.E.",Which log level should developers choose for a new logging statement?,Empirical Software Engineering,22,4,,1684,1716,,31,10.1007/s10664-016-9456-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991112488&doi=10.1007%2fs10664-016-9456-2&partnerID=40&md5=43f22548181d349dca9e572f05850a5a,"Logging statements are used to record valuable runtime information about applications. Each logging statement is assigned a log level such that users can disable some verbose log messages while allowing the printing of other important ones. However, prior research finds that developers often have difficulties when determining the appropriate level for their logging statements. In this paper, we propose an approach to help developers determine the appropriate log level when they add a new logging statement. We analyze the development history of four open source projects (Hadoop, Directory Server, Hama, and Qpid), and leverage ordinal regression models to automatically suggest the most appropriate level for each newly-added logging statement. First, we find that our ordinal regression model can accurately suggest the levels of logging statements with an AUC (area under the curve; the higher the better) of 0.75 to 0.81 and a Brier score (the lower the better) of 0.44 to 0.66, which is better than randomly guessing the appropriate log level (with an AUC of 0.50 and a Brier score of 0.80 to 0.83) or naively guessing the log level based on the proportional distribution of each log level (with an AUC of 0.50 and a Brier score of 0.65 to 0.76). Second, we find that the characteristics of the containing block of a newly-added logging statement, the existing logging statements in the containing source code file, and the content of the newly-added logging statement play important roles in determining the appropriate log level for that logging statement. © 2016, Springer Science+Business Media New York.",Scopus,2-s2.0-84991112488
English,Article,2009,"Aguero-Valverde J., Jovanis P.P.",Bayesian multivariate Poisson lognormal models for crash severity modeling and site ranking,Transportation Research Record,,2136,,82,91,,101,10.3141/2136-10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76749111608&doi=10.3141%2f2136-10&partnerID=40&md5=f59adb6d247ee2b30d2f598465cb793c,"Traditionally, highway safety analyses have used univariate Poisson or negative binomial distributions to model crash counts for different levels of crash severity. Because unobservables or omitted variables are shared across severity levels, however, crash counts are multivariate in nature. This research uses full Bayes multivariate Poisson lognormal models to estimate the expected crash frequency for different levels of crash severity and then compares those estimates to independent or univariate Poisson lognormal estimates. The multivariate Poisson lognormal model fits better than the univariate model and improves the precision in crash-frequency estimates. The covariances and correlations among crash severities are high (correlations range from 0.47 to 0.97), with the highest values found between contiguous severity levels. Considering this correlation between severity levels improves the precision of the expected number of crashes. The multivariate estimates are used with cost data from the Pennsylvania Department of Transportation to develop the expected crash cost (and excess expected cost) per segment, which is then used to rank sites for safety improvements. The multivariate-based top-ranked segments are found to have consistently higher costs and excess costs than the univariate estimates, which is due to higher multivariate estimates of fatalities and major injuries (due to the random effects parameter). These higher estimated frequencies, in turn, produce different rankings for the multivariate and independent models. The finding of a high correlation between contiguous severity levels is consistent with some of the literature, but additional tests of multivariate models are recommended. The improved precision has important implications for the identification of sites with promise (SWiPs), because one formulation includes the standard deviation of crash frequencies for similar sites as part of the assessment of SWiPs.",Scopus,2-s2.0-76749111608
English,Conference Paper,2018,"Li H., Shang W., Hassan A.E.",Which log level should developers choose for a new logging statement? (journal-first abstract),"25th IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2018 - Proceedings",2018-March,,8330234,468,,,,10.1109/SANER.2018.8330234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050964552&doi=10.1109%2fSANER.2018.8330234&partnerID=40&md5=c683abc445b36b80d5db7f78e5a02ba0,"This is an extended abstract of a paper published in the Empirical Software Engineering journal. The original paper is communicated by Mark Grechanik. The paper empirically studied how developers assign log levels to their logging statements and proposed an automated approach to help developers determine the most appropriate log level when they add a new logging statement. We analyzed the development history of four open source projects (Hadoop, Directory Server, Hama, and Qpid). We found that our automated approach can accurately suggest the levels of logging statements with an AUC of 0.75 to 0.81. We also found that the characteristics of the containing block of a newly-added logging statement, the existing logging statements in the containing source code file, and the content of the newly-added logging statement play important roles in determining the appropriate log level for that logging statement. © 2018 IEEE.",Scopus,2-s2.0-85050964552
English,Conference Paper,1983,"Yow Jr. Jesse L., Wilder Dale G.",PLANNING EXPLORATORY DRILLING: THE EFFECT OF BLIND ZONES AND LEVEL OF LOGGING EFFORT.,Proceedings - Symposium on Rock Mechanics,,,,807,812,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020504483&partnerID=40&md5=cdcf5ba4cf688f7486ea4594d0eafb26,[No abstract available],Scopus,2-s2.0-0020504483
English,Article,2012,"Lan B., Persaud B.",Evaluation of Multivariate Poisson Log Normal Bayesian Methods for Before-After Road Safety Evaluations,Journal of Transportation Safety and Security,4,3,,193,210,,13,10.1080/19439962.2011.649194,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864647768&doi=10.1080%2f19439962.2011.649194&partnerID=40&md5=4950f24b6aaa4eb60e87057b002efc51,"The multivariate Poisson log normal (MVPLN) Bayesian method has recently been introduced in road safety analysis mainly for network screening and using different crash severity levels. However, there is little or no research applying MVPLN to different crash types. Besides, only one model structure for the expected crashes of a given severity was investigated in previous MVPLN studies. Another knowledge gap is that this method has not yet been evaluated for before-after treatment effect analysis. The objective of this study was to evaluate the application of MVPLN Bayesian method for before-after road safety evaluation studies. Two groups of unsignalized California intersections, for which a naive before-after comparison shows a significant change in the crash frequency after a hypothetical treatment was assigned, were used to conduct the study. It was found that the crash reduction rates are sensitive to the function form of expected crashes. For each model structure, MVPLN, univariate Poisson log normal (PLN) and Poisson-gamma models provided comparable results while PLN was seen to be superior. Finally, models that consider temporal effects of unobserved latent variables were found to be superior to those that don't. © 2012 Copyright Taylor and Francis Group, LLC.",Scopus,2-s2.0-84864647768
English,Article,2017,"Zhou A., Wang K., Zhang H.",Human factor risk control for oil and gas drilling industry,Journal of Petroleum Science and Engineering,159,,,581,587,,6,10.1016/j.petrol.2017.09.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041527013&doi=10.1016%2fj.petrol.2017.09.034&partnerID=40&md5=28aa6ebfd569a0567c8557c027e5a9ab,"To control the human factor risk for oil and gas drilling industry, the types of work activities involved in drilling were identified, the major accident risk types of human errors were selected, the probability and severity levels of the risks associated with each activity were quantified, and the human factor risk levels of major work activities involved in drilling processes were calculated. Quantitative results demonstrate that the highest risks during the drilling process include being struck by an object, injury by machine, and overexertion; conversely, the lowest risks include exposure to harmful substances or environments and fire and explosion. The highest risk activities are associated with, for instance, penetration drilling, the trip in and out, and the hoisting and lifting operations. Conversely, the relative lowest risk activities include auxiliary operations, well logging and mud logging, equipment inspection and maintenance. The total risk value of all main drilling activities is 11.3947 S/w-h. Twelve risk control measures were selected, and the Delphi method was taken to quantify the human factor risk mitigation capacity resulting from the selected risk control measures. The results demonstrate that the human risk control measures exist in three tiers of effectiveness, with each tier being separated by nearly an order of magnitude. The types of most risk mitigation are risk codes, such as injury by machine, fall from height, and contact with harmful material. The most minimal risk mitigation types include muscle strain and fire and explosion. Finally, these data will be valuable for drilling companies to strategically allocate limited resources to their safety management plan, and they can evaluate the expected effectiveness resulting from risk control measures. © 2017",Scopus,2-s2.0-85041527013
English,Conference Paper,2013,"Zhou A.T., Wang K., Zhang H.",Quantitative study on the risk level of human factor for drilling process,Advanced Materials Research,774-776,,,2021,2024,,,10.4028/www.scientific.net/AMR.774-776.2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884955203&doi=10.4028%2fwww.scientific.net%2fAMR.774-776.2021&partnerID=40&md5=335284b1b5e36ae64eea775daf15708f,"In order to quantifying human factor initial risk level in drilling process, the types of work activities involved in drilling were identified, the major accident risk types of human errors were selected, the probability and severity levels of risks associated with each activity were quantified, and the human factor risk level of major work activities involved in drilling process were calculated. Quantitative results show that the relatively highest risk types during drilling process are struck by object (risk value is 3.171 S/w-h), injury by machine (risk value is 2.816 S/w-h), overexertion (risk value is 1.501 S/w-h), etc. Contrarily, the relatively lowest risk types are exposure to harmful substances or environments (0.737 S/w-h), fire and explosion (0.2750S/w-h), and others (0.2261 S/w-h), etc. The relatively highest risk activities are associated with penetration drilling (risk value is 2.7475S/w-h), trip in and out (risk value is 2.0206 S/w-h), and hoisting and lifting operation (risk value is 1.7064 S/w-h), etc. Contrarily, the relatively lowest risk activities are auxiliary operations (risk value is 0.3706S/w-h), well logging and mud logging (risk value is 0.205 S/w-h), equipment inspection and maintenance (risk value is 0.1510 S/w-h), etc. The total risk value of all main drilling activities is 11.347 S/w-h. © (2013) Trans Tech Publications, Switzerland.",Scopus,2-s2.0-84884955203
English,Conference Paper,2019,"Mizouchi T., Shimari K., Ishio T., Inoue K.",PADLA: A dynamic log level adapter using online phase detection,IEEE International Conference on Program Comprehension,2019-May,,8813251,135,138,,1,10.1109/ICPC.2019.00029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072306623&doi=10.1109%2fICPC.2019.00029&partnerID=40&md5=72dbcc22209d2cd3b3e34ccc5a6a560a,"Logging is an important feature for a software system to record its run-time information. Although detailed logs are helpful to identify the cause of a failure in a program execution, constantly recording detailed logs of a long-running system is challenging because of its performance overhead and storage cost. To solve the problem, we propose PADLA (Phase-Aware Dynamic Log Level Adapter) that dynamically adjusts the log level of a running system so that the system can record irregular events such as performance anomalies in detail while recording regular events concisely. PADLA is an extension of Apache Log4j, one of the most popular logging framework for Java. It employs an online phase detection algorithm to recognize irregular events. It monitors run-time performance of a system and learns regular execution phases of a program. If it recognizes a performance anomalies, it automatically changes the log level of a system to record the detailed behavior. In the case study, PADLA successfully recorded a detailed log for performance analysis of a server system under high load while suppressing the amount of log data and performance overhead. © 2019 IEEE.",Scopus,2-s2.0-85072306623
English,Conference Paper,2018,"Blakely W.F., Bolduc D.L., Debad J., Sigal G., Port M., Abend M., Valente M., Drouet M., Hérodin F.",Use of Proteomic and Hematology Biomarkers for Prediction of Hematopoietic Acute Radiation Syndrome Severity in Baboon Radiation Models,Health Physics,115,1,,29,36,,15,10.1097/HP.0000000000000819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048030537&doi=10.1097%2fHP.0000000000000819&partnerID=40&md5=7b39a13f93daa53afc863a3200ee1f65,"Use of plasma proteomic and hematological biomarkers represents a promising approach to provide useful diagnostic information for assessment of the severity of hematopoietic acute radiation syndrome. Eighteen baboons were evaluated in a radiation model that underwent total-body and partial-body irradiations at doses of 60Co gamma rays from 2.5 to 15 Gy at dose rates of 6.25 cGy min-1 and 32 cGy min-1. Hematopoietic acute radiation syndrome severity levels determined by an analysis of blood count changes measured up to 60 d after irradiation were used to gauge overall hematopoietic acute radiation syndrome severity classifications. A panel of protein biomarkers was measured on plasma samples collected at 0 to 28 d after exposure using electrochemiluminescence-detection technology. The database was split into two distinct groups (i.e., ""calibration,"" n = 11; ""validation,"" n = 7). The calibration database was used in an initial stepwise regression multivariate model-fitting approach followed by down selection of biomarkers for identification of subpanels of hematopoietic acute radiation syndrome-responsive biomarkers for three time windows (i.e., 0-2 d, 2-7 d, 7-28 d). Model 1 (0-2 d) includes log C-reactive protein (p &lt; 0.0001), log interleukin-13 (p &lt; 0.0054), and procalcitonin (p &lt; 0.0316) biomarkers; model 2 (2-7 d) includes log CD27 (p &lt; 0.0001), log FMS-related tyrosine kinase 3 ligand (p &lt; 0.0001), log serum amyloid A (p &lt; 0.0007), and log interleukin-6 (p &lt; 0.0002); and model 3 (7-28 d) includes log CD27 (p &lt; 0.0012), log serum amyloid A (p &lt; 0.0002), log erythropoietin (p &lt; 0.0001), and log CD177 (p &lt; 0.0001). The predicted risk of radiation injury categorization values, representing the hematopoietic acute radiation syndrome severity outcome for the three models, produced least squares multiple regression fit confidences of R2 = 0.73, 0.82, and 0.75, respectively. The resultant algorithms support the proof of concept that plasma proteomic biomarkers can supplement clinical signs and symptoms to assess hematopoietic acute radiation syndrome risk severity. © 2018 Lippincott Williams & Wilkins.",Scopus,2-s2.0-85048030537
English,Article,2006,"Nutter Jr. F.W., Esker P.D.",The role of psychophysics in phytopathology: The Weber-Fechner law revisited,European Journal of Plant Pathology,114,2,,199,213,,63,10.1007/s10658-005-4732-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646452125&doi=10.1007%2fs10658-005-4732-9&partnerID=40&md5=3fa5343e5396993538dcaf279c595389,"The accuracy and precision of disease severity assessment data might be improved if there was a better understanding of how the laws of psychophysics actually relate to the theory and practice of phytopathometry. In this regard, we utilized a classical method developed in the field of psychophysics (the method of comparison stimuli) to test Horsfall and Barratt's claim that raters cannot accurately discriminate disease severity levels between 25% and 50% because, according to the Weber-Fechner law, visual acuity is proportional to the logarithm of the intensity of the stimulus. We show for two pathosystems, wheat leaf rust and grapevine downy mildew, that raters can accurately discriminate disease severity levels between 25% and 50%, and that although Weber's law appears to hold true, Fechner's law does not. Furthermore, based upon our results, the relationship between actual (true) disease severity (X) and disease severity estimated by raters (F) is linear, not logarithmic as proposed by Horsfall and Barratt. © Springer 2006.",Scopus,2-s2.0-33646452125
English,Conference Paper,2020,"Haji A., Tisdale C., Muslem M., Abouzaid A.",Quantification and correction of lateral motion effects on NMR logging while drilling,"Society of Petroleum Engineers - Abu Dhabi International Petroleum Exhibition and Conference 2020, ADIP 2020",,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097533840&partnerID=40&md5=25abf14b56c6a5dfc81b3d4269fa53fc,"Monitoring downhole drilling dynamics is an essential element to quality check the measurements provided in logging while drilling (LWD). LWD nuclear magnetic resonance (NMR) is sensitive to the motion induced from the bottom-hole assembly (BHA) during drilling, therefore, quantifying the motion effects becomes important to understand how to correct the measurements. Quantification and correction of lateral motion effects on NMR LWD are the objectives of this paper. Data was collected from various BHA combinations with LWD NMR to model the responses, which were compared with actual downhole conditions to assess the need for the lateral motion correction (LMC). Vibrational assessment criteria are utilized to assign a severity level, which dictates the level of the LMC. The LMC applies an algorithm to differentiate true formation signal responses from the vibration signal response. Specifically, the motion effect function was integrated into the forward matrix of the NMR joint inversion, and a nonlinear optimization algorithm was used to determine the four motion parameters, and if present, compensate for lateral motion effects. In wellbores with severe motion vibration there were large discrepancies between real-time and memory data, which resulted in mismatches with the measured partial porosities. Investigations were conducted on the BHA design, well trajectories, and wellbore environment to quantify the lateral motion effect on the NMR measurement. This information was then compiled to incorporate all aspects of BHA design techniques to mitigate the lateral motion effects on the NMR measurement. The LMC algorithm gives added confidence to ensure all data collected is consistent and reliable even in more challenging wellbore environments, which could be subjected to unanticipated lateral motion. This paper highlights an approach to integrate BHA simulation principles to anticipate severe motion effects during drilling. This knowledge, coupled with the LMC, creates a platform to enhance NMR data quality. © 2020, Society of Petroleum Engineers",Scopus,2-s2.0-85097533840
English,Article,2016,"Kluch S.P., Vaux A.",The non-random nature of terrorism: An exploration of where and how global trends of terrorism have developed over 40 years,Studies in Conflict and Terrorism,39,12,,1031,1049,,5,10.1080/1057610X.2016.1159070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964555199&doi=10.1080%2f1057610X.2016.1159070&partnerID=40&md5=6e31114dd2d22e15ab963fe9e49e5135,"We examined the geographic concentration and persistence of terrorism using the Global Terrorism Database (GTD). The GTD logs all terrorist incidents worldwide using open-source media, and, for 1970-2013, includes over 125,000 incidents from over 200 countries and territories. We examined regional and country-level data; different terrorism forms, severity levels, and timeframes (entire period, five-year periods, and annual); and multiple definitions of ""elevated"" terrorism. The findings reveal that terrorism is concentrated geographically and temporally. Most countries experience peace or very low levels of terrorism; only a few experience substantial outbreaks; very few experience prolonged terrorism; and even fewer, prolonged severe terrorism. © Gallup.",Scopus,2-s2.0-84964555199
